q0 (),q1,q2,q3
5.673546997641421008e-01,1.479296132412749321e-01,5.203329223711242735e-01,6.208696514394566046e-01
5.645367553374839309e-01,1.464841919927867553e-01,5.229393007698255325e-01,6.215907987411107838e-01
5.617224612784407212e-01,1.450192008216801831e-01,5.255369499363677921e-01,6.222927141947842689e-01
5.589119573423739773e-01,1.435347152216754352e-01,5.281257284626380555e-01,6.229754605132987733e-01
5.561053826327974070e-01,1.420308117197298936e-01,5.307054956253864919e-01,6.236391014377444808e-01
5.533028755937466903e-01,1.405075678699741482e-01,5.332761113938702113e-01,6.242837017315028270e-01
5.505045740022002088e-01,1.389650622475915032e-01,5.358374364374456356e-01,6.249093271742113265e-01
5.477106149605530661e-01,1.374033744426401971e-01,5.383893321331078008e-01,6.255160445556728899e-01
5.449211348891430662e-01,1.358225850538198609e-01,5.409316605729767025e-01,6.261039216697082965e-01
5.421362695188307601e-01,1.342227756821825768e-01,5.434642845717303494e-01,6.266730273079522684e-01
5.393561538836320057e-01,1.326040289247870929e-01,5.459870676739839723e-01,6.272234312535960310e-01
5.365809223134059280e-01,1.309664283683000252e-01,5.484998741616153861e-01,6.277552042750723649e-01
5.338107084265961699e-01,1.293100585825412430e-01,5.510025690610340643e-01,6.282684181196884765e-01
5.310456451230269881e-01,1.276350051139756026e-01,5.534950181503980327e-01,6.287631455072044684e-01
5.282858645767561923e-01,1.259413544791511130e-01,5.559770879667715882e-01,6.292394601233578522e-01
5.255314982289813752e-01,1.242291941580850045e-01,5.584486458132310593e-01,6.296974366133339940e-01
5.227826767810037634e-01,1.224986125875951182e-01,5.609095597659105037e-01,6.301371505751864888e-01
5.200395301872486886e-01,1.207496991545811416e-01,5.633596986809944474e-01,6.305586785532041327e-01
5.173021876483417936e-01,1.189825441892536084e-01,5.657989322016497846e-01,6.309620980312247163e-01
5.145707776042430792e-01,1.171972389583105789e-01,5.682271307649036096e-01,6.313474874259009662e-01
5.118454277274385733e-01,1.153938756580653868e-01,5.706441656084608738e-01,6.317149260799129751e-01
5.091262649161900633e-01,1.135725474075233721e-01,5.730499087774650890e-01,6.320644942551306711e-01
5.064134152878428941e-01,1.117333482414080703e-01,5.754442331311996339e-01,6.323962731257296577e-01
5.037070041721924962e-01,1.098763731031395519e-01,5.778270123497312172e-01,6.327103447712530970e-01
5.010071561049102007e-01,1.080017178377631060e-01,5.801981209404927231e-01,6.330067921696289623e-01
4.983139948210288384e-01,1.061094791848297691e-01,5.825574342448068821e-01,6.332856991901357757e-01
4.956276432484875150e-01,1.041997547712298078e-01,5.849048284443507661e-01,6.335471505863239372e-01
4.929482235017360603e-01,1.022726431039773232e-01,5.872401805675584452e-01,6.337912319888862056e-01
4.902758568754019830e-01,1.003282435629496705e-01,5.895633684959638021e-01,6.340180298984849916e-01
4.876106638380162117e-01,9.836665639357969337e-02,5.918742709704819527e-01,6.342276316785299128e-01
4.849527640258012307e-01,9.638798269950299424e-02,5.941727675976294920e-01,6.344201255479127166e-01
4.823022762365197780e-01,9.439232443515868654e-02,5.964587388556827907e-01,6.345956005736943517e-01
4.796593184233870488e-01,9.237978439834665378e-02,5.987320661007741185e-01,6.347541466637496299e-01
4.770240076890430170e-01,9.035046622273978922e-02,6.009926315729257063e-01,6.348958545593655911e-01
4.743964602795888164e-01,8.830447437035268687e-02,6.032403184020203035e-01,6.350208158277975690e-01
4.717767915786853505e-01,8.624191412396731149e-02,6.054750106137096743e-01,6.351291228547816248e-01
4.691651161017154070e-01,8.416289157951595268e-02,6.076965931352585892e-01,6.352208688370042378e-01
4.665615474900087767e-01,8.206751363842171298e-02,6.099049518013267557e-01,6.352961477745296959e-01
4.639661985051315440e-01,7.995588799989758466e-02,6.120999733596841352e-01,6.353550544631862973e-01
4.613791810232391599e-01,7.782812315320447594e-02,6.142815454768654204e-01,6.353976844869112517e-01
4.588006060294940736e-01,7.568432836986857537e-02,6.164495567437562329e-01,6.354241342100546142e-01
4.562305836125484237e-01,7.352461369585847062e-02,6.186038966811169271e-01,6.354345007696436953e-01
4.536692229590905123e-01,7.134908994372324287e-02,6.207444557450408906e-01,6.354288820676086136e-01
4.511166323484582241e-01,6.915786868469073201e-02,6.228711253323457875e-01,6.354073767629663250e-01
4.485729191473164512e-01,6.695106224072858159e-02,6.249837977859016291e-01,6.353700842639700141e-01
4.460381898044011861e-01,6.472878367656598186e-02,6.270823663998899011e-01,6.353171047202172961e-01
4.435125498453293957e-01,6.249114679167952491e-02,6.291667254249990737e-01,6.352485390147221134e-01
4.409961038674755640e-01,6.023826611224059047e-02,6.312367700735506126e-01,6.351644887559512176e-01
4.384889555349142931e-01,5.797025688302809288e-02,6.332923965245621511e-01,6.350650562698222368e-01
4.359912075734303505e-01,5.568723505930420203e-02,6.353335019287390528e-01,6.349503445916669930e-01
4.335029617655953293e-01,5.338931729865564746e-02,6.373599844134016923e-01,6.348204574581609583e-01
4.310243189459124769e-01,5.107662095280032788e-02,6.393717430873442353e-01,6.346754992992145183e-01
4.285553789960284132e-01,4.874926405935978146e-02,6.413686780456255843e-01,6.345155752298347052e-01
4.260962408400126855e-01,4.640736533359746119e-02,6.433506903742914895e-01,6.343407910419497364e-01
4.236470024397059886e-01,4.405104416012517454e-02,6.453176821550294928e-01,6.341512531962029131e-01
4.212077607901367760e-01,4.168042058457668841e-02,6.472695564697553694e-01,6.339470688137127663e-01
4.187786119150055941e-01,3.929561530524905422e-02,6.492062174051282941e-01,6.337283456678013405e-01
4.163596508622390280e-01,3.689674966471315209e-02,6.511275700570015035e-01,6.334951921756933890e-01
4.139509716996124800e-01,3.448394564139362073e-02,6.530335205347984617e-01,6.332477173901813750e-01
4.115526675104417831e-01,3.205732584111814498e-02,6.549239759658241899e-01,6.329860309912633820e-01
4.091648303893447580e-01,2.961701348863729488e-02,6.567988444995038755e-01,6.327102432777496066e-01
4.067875514380723811e-01,2.716313241911583187e-02,6.586580353115529807e-01,6.324204651588404280e-01
4.044209207614094526e-01,2.469580706959514926e-02,6.605014586080765193e-01,6.321168081456766119e-01
4.020650274631453192e-01,2.221516247042765180e-02,6.623290256295994993e-01,6.317993843428606482e-01
