gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
3.294454138480061545e+01,4.003993030302756040e+01,4.609740680927825451e+01
3.185813009416339270e+01,4.039304911333393022e+01,4.619932312026707422e+01
3.076016607978415962e+01,4.075374005737069183e+01,4.627008932165697530e+01
2.965140035825705667e+01,4.112126304586238490e+01,4.630926808323768284e+01
2.853259470591274649e+01,4.149486408428170137e+01,4.631645645917565446e+01
2.740451488122920409e+01,4.187377566634682324e+01,4.629127948400835635e+01
2.626793403018281481e+01,4.225721934552264258e+01,4.623340144249240069e+01
2.512363074048288780e+01,4.264440603103194150e+01,4.614251456997001100e+01
2.397239093850799208e+01,4.303453638034475404e+01,4.601834774208099077e+01
2.281500133377123518e+01,4.342680276185416943e+01,4.586066352537797997e+01
2.165225730060433662e+01,4.382038944771485944e+01,4.566925880241193880e+01
2.048495404182115465e+01,4.421447550712897367e+01,4.544396582547899044e+01
1.931389264893731195e+01,4.460823399754431051e+01,4.518465108422930143e+01
1.813987423584717362e+01,4.500083321583956320e+01,4.489121604272757082e+01
1.696370575610288611e+01,4.539144092539896747e+01,4.456359775951219859e+01
1.578619169986403570e+01,4.577921846287969743e+01,4.420176896416115397e+01
1.460813971983163917e+01,4.616333092862355869e+01,4.380573783852591419e+01
1.343035637822815076e+01,4.654294156580963460e+01,4.337554736108003794e+01
1.225364932671733520e+01,4.691721478927567546e+01,4.291127677221303571e+01
