ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
5.117355872777458359e+01,3.554464212230670483e+01,3.844544271256840062e+01
5.046048391230227281e+01,3.562030776605213589e+01,3.903521173705954794e+01
4.972310625244718096e+01,3.571406741532791784e+01,3.960822238922963834e+01
4.896193111002450848e+01,3.582563646936849011e+01,4.016355321485637120e+01
4.817748015645534565e+01,3.595470126552695689e+01,4.070029812390470880e+01
4.737029101523906860e+01,3.610091954251694091e+01,4.121756746550489936e+01
4.654091689349303351e+01,3.626392093985193554e+01,4.171448908456065396e+01
4.568992620281217398e+01,3.644330753284699398e+01,4.219020935871586886e+01
4.481790216970790652e+01,3.663865440250311423e+01,4.264389421443195971e+01
4.392544243589399144e+01,3.684951023955240146e+01,4.307473012095261566e+01
4.301315864869258121e+01,3.707539798189996816e+01,4.348192506095955423e+01
4.208167604184186672e+01,3.731581548465759113e+01,4.386470947675036314e+01
4.113163300699196867e+01,3.757023622192387080e+01,4.422233719079898151e+01
4.016368065618328131e+01,3.783811001942725483e+01,4.455408629959031686e+01
3.917848237560673397e+01,3.811886381710959881e+01,4.485926003965205666e+01
3.817671337095209338e+01,3.841190246069191971e+01,4.513718762474039181e+01
3.715906020465565973e+01,3.871660952122802968e+01,4.538722505317102929e+01
3.612622032536471295e+01,3.903234814161738342e+01,4.560875588432248406e+01
3.507890158994101171e+01,3.935846190901551012e+01,4.580119198337565933e+01
3.401782177833108278e+01,3.969427575204852587e+01,4.596397423339246302e+01
3.294370810163567853e+01,4.003909686170783289e+01,4.609657321387425100e+01
3.185729670371563316e+01,4.039221563477204313e+01,4.619848984498271705e+01
3.075933215667561171e+01,4.075290663857533247e+01,4.626925599664564004e+01
2.965056695057161917e+01,4.112042959591536828e+01,4.630843506181333424e+01
2.853176097769184949e+01,4.149403038886951123e+01,4.631562249317379099e+01
2.740368101176451177e+01,4.187294208026391829e+01,4.629044630267946303e+01
2.626710018244940770e+01,4.225638595151975352e+01,4.623256752328220642e+01
2.512279744547345928e+01,4.264357255557906257e+01,4.614168063231957717e+01
2.397155704877339488e+01,4.303370278359605550e+01,4.601751393604088491e+01
2.281416799501138470e+01,4.342596894406097618e+01,4.585982991480874915e+01
2.165142350083198508e+01,4.381955585300974576e+01,4.566842552855895576e+01
2.048412045323113517e+01,4.421364193395811526e+01,4.544313248214947265e+01
1.931305886340957301e+01,4.460740032618758732e+01,4.518381745027747343e+01
1.813904131848512336e+01,4.499999999999977263e+01,4.489038226169230938e+01
1.696287243143959955e+01,4.539060687754745516e+01,4.456276404248095702e+01
1.578535828967723376e+01,4.577838495784365591e+01,4.420093531825209965e+01
1.460730590257264261e+01,4.616249744454499648e+01,4.380490407509435613e+01
