ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
7.800000000000069633e+01,-5.900000000000065370e+01,1.410000000000002274e+02
7.950000000000065370e+01,-6.050000000000061107e+01,1.415000000000001990e+02
8.100000000000061107e+01,-6.200000000000056843e+01,1.420000000000001705e+02
8.250000000000056843e+01,-6.350000000000052580e+01,1.425000000000001705e+02
8.400000000000052580e+01,-6.500000000000048317e+01,1.430000000000001705e+02
8.550000000000048317e+01,-6.650000000000044054e+01,1.435000000000001705e+02
8.700000000000044054e+01,-6.800000000000039790e+01,1.440000000000001421e+02
8.850000000000039790e+01,-6.950000000000035527e+01,1.445000000000001421e+02
9.000000000000035527e+01,-7.100000000000031264e+01,1.450000000000001421e+02
9.150000000000031264e+01,-7.250000000000027001e+01,1.455000000000001421e+02
9.300000000000027001e+01,-7.400000000000022737e+01,1.460000000000001421e+02
9.450000000000022737e+01,-7.550000000000018474e+01,1.465000000000001137e+02
9.600000000000018474e+01,-7.700000000000014211e+01,1.470000000000001137e+02
9.750000000000014211e+01,-7.850000000000009948e+01,1.475000000000001137e+02
9.900000000000015632e+01,-8.000000000000011369e+01,1.480000000000001137e+02
1.005000000000001563e+02,-8.150000000000012790e+01,1.485000000000001137e+02
1.020000000000001705e+02,-8.300000000000012790e+01,1.490000000000000853e+02
1.035000000000001847e+02,-8.450000000000014211e+01,1.495000000000000853e+02
1.050000000000001847e+02,-8.600000000000014211e+01,1.500000000000000853e+02
1.065000000000001990e+02,-8.750000000000015632e+01,1.505000000000000853e+02
1.080000000000001990e+02,-8.900000000000017053e+01,1.510000000000000853e+02
-7.049999999999978684e+01,-8.949999999999982947e+01,-2.849999999999995737e+01
-6.899999999999977263e+01,-8.799999999999981526e+01,-2.799999999999993605e+01
-6.749999999999977263e+01,-8.649999999999981526e+01,-2.749999999999991829e+01
-6.599999999999975842e+01,-8.499999999999980105e+01,-2.699999999999995026e+01
-6.449999999999975842e+01,-8.349999999999978684e+01,-2.649999999999997868e+01
-6.299999999999974420e+01,-8.199999999999978684e+01,-2.599999999999996092e+01
-6.149999999999973710e+01,-8.049999999999977263e+01,-2.549999999999993960e+01
-5.999999999999972999e+01,-7.899999999999977263e+01,-2.499999999999997158e+01
-5.849999999999972289e+01,-7.749999999999975842e+01,-2.450000000000000355e+01
-5.699999999999970868e+01,-7.599999999999974420e+01,-2.399999999999998224e+01
-5.549999999999970157e+01,-7.449999999999974420e+01,-2.349999999999996447e+01
-5.399999999999969447e+01,-7.299999999999972999e+01,-2.299999999999999289e+01
-5.249999999999968736e+01,-7.149999999999972999e+01,-2.250000000000002487e+01
-5.099999999999968026e+01,-6.999999999999971578e+01,-2.200000000000000711e+01
-4.949999999999966604e+01,-6.849999999999970157e+01,-2.149999999999998579e+01
-4.799999999999965894e+01,-6.699999999999970157e+01,-2.100000000000001776e+01
-4.649999999999965183e+01,-6.549999999999968736e+01,-2.050000000000004974e+01
-4.499999999999964473e+01,-6.399999999999968026e+01,-2.000000000000002842e+01
-4.349999999999963762e+01,-6.249999999999967315e+01,-1.950000000000000711e+01
-4.199999999999962341e+01,-6.099999999999966604e+01,-1.900000000000003908e+01
-4.049999999999961631e+01,-5.949999999999965894e+01,-1.850000000000007105e+01
-3.899999999999960920e+01,-5.799999999999965183e+01,-1.800000000000004974e+01
-3.749999999999960210e+01,-5.649999999999963762e+01,-1.750000000000003197e+01
-3.599999999999959499e+01,-5.499999999999963052e+01,-1.700000000000006040e+01
